source_file,scheme,metric,households,simulations,cache_mode,total_us,avg_us,count,cipher_bytes
bfv_h250_s1000_cold.log,BFV,H_total_household_side,250,1000,cold,1766130690,1766130.690,1000,526449
bfv_h250_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,250,1000,cold,65477,65.477,1000,526449
bfv_h250_s1000_cold.log,BFV,B_add_X_remaining,250,1000,cold,13952019,56.032,249000,526449
bfv_h250_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,250,1000,cold,195154,65.203,2993,526449
bfv_h250_s1000_cold.log,BFV,B_add_delta_remaining,250,1000,cold,23700608,55.957,423551,526449
bfv_h250_s1000_cold.log,BFV,B_total_aggregation,250,1000,cold,37913258,37913.258,1000,526449
bfv_h250_s1000_cold.log,BFV,C_decrypt_X,250,1000,cold,1033069,1033.069,1000,0
bfv_h250_s1000_cold.log,BFV,C_decrypt_delta,250,1000,cold,3087257,1031.492,2993,0
bfv_h250_s1000_cold.log,BFV,C_control_logic_until_convergence,250,1000,cold,16056,5.365,2993,0
bfv_h250_s1000_cold.log,BFV,C_total_decrypt_plus_control,250,1000,cold,4136382,4136.382,1000,0
bfv_h250_s1000_cold.log,BFV,SIM_total_measured_H_B_C,250,1000,cold,1808180330,1808180.330,1000,526449
bfv_h250_s1000_cold.log,SUMMARY,total_iterations,250,1000,cold,2993,2.993,1000,0
bfv_h250_s1000_cold.log,SUMMARY,accepted_delta_count,250,1000,cold,426544,426.544,1000,0
bfv_h500_s1000_cold.log,BFV,H_initial_device_planning,500,1000,cold,5764741,11.529,500000,0
bfv_h500_s1000_cold.log,BFV,H_encrypt_X_i,500,1000,cold,1292760607,2585.521,500000,526449
bfv_h500_s1000_cold.log,BFV,H_plan_compute,500,1000,cold,29181188,20.160,1447500,0
bfv_h500_s1000_cold.log,BFV,H_accept_compute,500,1000,cold,74690,0.088,852016,0
bfv_h500_s1000_cold.log,BFV,H_encrypt_delta_i,500,1000,cold,2201838648,2584.269,852016,526449
bfv_h500_s1000_cold.log,BFV,H_total_household_side,500,1000,cold,3529619874,3529619.874,1000,526449
bfv_h500_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,500,1000,cold,65545,65.545,1000,526449
